SchoolYear,Race,Total
2021-22,American Indian/Alaskan Native,13694
2021-22,Asian,92566
2021-22,Black/African American,50718
2021-22,Hispanic/ Latino of any race(s),274965
2021-22,Native Hawaiian/ Other Pacific Islander,14307
2021-22,Two or More Races,100480
2021-22,White,544625
2020-21,American Indian/Alaskan Native,14213
2020-21,Asian,91357
2020-21,Black/African American,49898
2020-21,Hispanic/ Latino of any race(s),268486
2020-21,Native Hawaiian/ Other Pacific Islander,13427
2020-21,Two or More Races,99041
2020-21,White,552336
2019-20,American Indian/Alaskan Native,14364
2019-20,Asian,91180
2019-20,Black/African American,50129
2019-20,Hispanic/ Latino of any race(s),272755
2019-20,Native Hawaiian/ Other Pacific Islander,13148
2019-20,Two or More Races,102526
2019-20,White,596895
2018-19,American Indian/Alaskan Native,14566
2018-19,Asian,88747
2018-19,Black/African American,49809
2018-19,Hispanic/ Latino of any race(s),265738
2018-19,Native Hawaiian/ Other Pacific Islander,12544
2018-19,Two or More Races,100058
2018-19,White,602045
2017-18,American Indian/Alaskan Native,14803
2017-18,Asian,86353
2017-18,Black/African American,48880
2017-18,Hispanic/ Latino of any race(s),260706
2017-18,Native Hawaiian/ Other Pacific Islander,12099
2017-18,Two or More Races,95768
2017-18,White,607582
2016-17,American Indian/Alaskan Native,15075
2016-17,Asian,83245
2016-17,Black/African American,48316
2016-17,Hispanic/ Latino of any race(s),254027
2016-17,Native Hawaiian/ Other Pacific Islander,11698
2016-17,Two or More Races,91354
2016-17,White,609354
2015-16,American Indian/Alaskan Native,15300
2015-16,Asian,79946
2015-16,Black/African American,48068
2015-16,Hispanic/ Latino of any race(s),245864
2015-16,Native Hawaiian/ Other Pacific Islander,11108
2015-16,Two or More Races,86384
2015-16,White,610251
2014-15,American Indian/Alaskan Native,15804
2014-15,Asian,77671
2014-15,Black/African American,48357
2014-15,Hispanic/ Latino of any race(s),235148
2014-15,Native Hawaiian/ Other Pacific Islander,10622
2014-15,Two or More Races,81873
2014-15,White,612804
